Time,SST
20030301,-0.16
20030302,-0.11
20030303,-0.08
20030304,0.06
20030305,0.08
20030306,0.16
20030307,0.35
20030308,0.46
20030309,0.32
20030310,0.45
20030311,0.53
20030312,0.42
20030313,-0.08
20030314,-0.61
20030315,-1.01
20030316,-1.11
20030317,-1.25
20030318,-1.33
20030319,-1.38
20030320,-1.62
20030321,-1.68
20030322,-1.67
20030323,-1.61
20030324,-1.52
20030325,-1.54
20030326,-1.6
20030327,-1.63
20030328,-1.59
20030329,-1.6
20030330,-1.63
20030331,-1.63
20030401,-1.45
20030402,-1.25
20030403,-1.33
20030404,-1.31
20030405,-1.17
20030406,-1.19
20030407,-1.15
20030408,-1.1
20030409,-1.1
20030410,-1.45
20030411,-1.5
20030412,-1.48
20030413,-0.72
20030414,-0.67
20030415,-0.64
20030416,-0.65
20030417,-0.88
20030418,-0.79
20030419,-0.82
20030420,-0.9
20030421,-0.94
20030422,-1.19
20030423,-0.26
20030424,-0.1
20030425,0.02
20030426,0
20030427,0.03
20030428,-0.05
20030429,-0.11
20030430,0.08
20030501,0.21
20030502,1.69
20030503,1.45
20030504,1.28
20030505,1.11
20030506,1.25
20030507,1.42
20030508,1.67
20030509,1.94
20030510,1.85
20030511,1.85
20030512,1.69
20030513,1.59
20030514,2.17
20030515,2.25
20030516,2.36
20030517,2.28
20030518,2.27
20030519,2.74
20030520,3.01
20030521,3.33
20030522,3.4
20030523,3.52
20030524,3.63
20030525,3.64
20030526,3.64
20030527,3.68
20030528,4.04
20030529,4.28
20030530,4.78
20030531,4.98
20030601,5.19
20030602,5.23
20030603,5.33
20030604,5.5
20030605,5.51
20030606,5.41
20030607,6.16
20030608,5.8
20030609,5.56
20030610,6.02
20030611,6.32
20030612,6.46
20030613,5.82
20030614,6.33
20030615,6.47
20030616,6.49
20030617,6.29
20030618,6.3
20030619,6.36
20030620,6.57
20030621,6.7
20030622,6.62
20030623,6.93
20030624,8.1
20030625,8.24
20030626,8.16
20030627,8.34
20030628,8.41
20030629,8.56
20030630,8.79
20030701,6.56
20030702,6.55
20030703,7.05
20030704,7.02
20030705,8.04
20030706,8.39
20030707,8.47
20030708,8.47
20030709,8.8
20030710,8.98
20030711,8.98
20030712,8.9
20030713,8.99
20030714,9.24
20030715,9.73
20030716,9.86
20030717,9.5
20030718,9.27
20030719,9.28
20030720,9.55
20030721,9.68
20030722,9.65
20030723,9.82
20030724,10.08
20030725,10.1
20030726,10.15
20030727,10.09
20030728,10.14
20030729,10.17
20030730,10.38
20030731,10.59
20040301,-1.62
20040302,-1.62
20040303,-1.52
20040304,-1.41
20040305,-1.46
20040306,-1.58
20040307,-1.47
20040308,-1.59
20040309,-1.58
20040310,-1.57
20040311,-1.54
20040312,-1.56
20040313,-1.56
20040314,-1.56
20040315,-1.57
20040316,-1.55
20040317,-1.48
20040318,-1.59
20040319,-1.69
20040320,-1.72
20040321,-1.74
20040322,-1.73
20040323,-1.69
20040324,-1.55
20040325,-1.54
20040326,-1.64
20040327,-1.65
20040328,-1.69
20040329,-1.75
20040330,-1.78
20040331,-1.79
20040401,-1.78
20040402,-1.75
20040403,-1.74
20040404,-1.72
20040405,-1.58
20040406,-1.37
20040407,-1.28
20040408,-1.29
20040409,-1.35
20040410,-1.46
20040411,-1.47
20040412,-1.43
20040413,-1.34
20040414,-0.77
20040415,-0.81
20040416,-0.82
20040417,-1.02
20040418,-1.01
20040419,-0.94
20040420,-0.98
20040421,-0.91
20040422,-0.71
20040423,-0.79
20040424,-0.69
20040425,-0.24
20040426,-0.04
20040427,0.09
20040428,0.16
20040429,0.09
20040430,-0.17
20040501,-0.15
20040502,0.8
20040503,1.15
20040504,1.57
20040505,1.76
20040506,1.64
20040507,1.55
20040508,1.57
20040509,1.6
20040510,1.36
20040511,0.66
20040512,1.18
20040513,1.86
20040514,1.91
20040515,1.7
20040516,2.16
20040517,2.13
20040518,2.21
20040519,2.19
20040520,2.28
20040521,2.34
20040522,2.55
20040523,2.3
20040524,2.16
20040525,2.35
20040526,2.6
20040527,2.67
20040528,3.01
20040529,3.25
20040530,3.53
20040531,4.06
20040601,4
20040602,4.29
20040603,4.53
20040604,5.02
20040605,5.32
20040606,5.21
20040607,5.15
20040608,5.25
20040609,5.31
20040610,5.53
20040611,5.46
20040612,5.36
20040613,5.43
20040614,5.91
20040615,6.14
20040616,6.28
20040617,6.7
20040618,6.76
20040619,6.83
20040620,6.72
20040621,6.72
20040622,6.52
20040623,6.49
20040624,7.47
20040625,7.68
20040626,7.69
20040627,7.83
20040628,8.19
20040629,8.59
20040630,8.99
20040701,9.24
20040702,9.26
20040703,9.12
20040704,9.1
20040705,9.3
20040706,9.31
20040707,9.36
20040708,9.55
20040709,9.87
20040710,10.14
20040711,10.32
20040712,10.41
20040713,10.85
20040714,10.93
20040715,10.97
20040716,11.04
20040717,11.16
20040718,11.18
20040719,11.23
20040720,11.23
20040721,11.27
20040722,11.36
20040723,11.49
20040724,11.6
20040725,11.59
20040726,11.5
20040727,11.59
20040728,11.52
20040729,11.4
20040730,12.2
20040731,12.23
20050301,-1.55
20050302,-1.48
20050303,-1.34
20050304,-1.14
20050305,-1.14
20050306,-1.13
20050307,-1.13
20050308,-1.07
20050309,-1.19
20050310,-0.52
20050311,-0.33
20050312,-0.35
20050313,-0.6
20050314,-0.68
20050315,-0.5
20050316,-0.5
20050317,-0.55
20050318,-0.41
20050319,-0.19
20050320,-0.08
20050321,-0.27
20050322,-0.58
20050323,-0.8
20050324,-0.76
20050325,-0.76
20050326,-0.89
20050327,-0.91
20050328,-0.84
20050329,-0.83
20050330,-1.08
20050331,-1.35
20050401,-1.6
20050402,-1.67
20050403,-1.66
20050404,-1.68
20050405,-1.71
20050406,-1.71
20050407,-1.66
20050408,-1.54
20050409,-1.52
20050410,-1.54
20050411,-1.67
20050412,-1.6
20050413,-1.39
20050414,-1.22
20050415,-1.16
20050416,-1.18
20050417,-1.11
20050418,-1.11
20050419,-1.04
20050420,-1.12
20050421,-1.15
20050422,-0.73
20050423,-0.76
20050424,-0.71
20050425,-0.7
20050426,-0.45
20050427,-0.3
20050428,-0.7
20050429,-0.74
20050430,-0.15
20050501,-0.13
20050502,1.47
20050503,1.73
20050504,2.07
20050505,2.09
20050506,1.85
20050507,2.02
20050508,1.94
20050509,1.97
20050510,2.07
20050511,2.09
20050512,2.34
20050513,2.16
20050514,2.18
20050515,2.19
20050516,2.39
20050517,2.94
20050518,3.35
20050519,3.34
20050520,3.3
20050521,3.26
20050522,3.45
20050523,3.56
20050524,3.67
20050525,3.45
20050526,3.24
20050527,2.98
20050528,3.5
20050529,3.8
20050530,4.17
20050531,4.36
20050601,4.49
20050602,4.76
20050603,5.4
20050604,5.75
20050605,7.13
20050606,6.99
20050607,7.02
20050608,7.07
20050609,7.64
20050610,7.29
20050611,7.1
20050612,6.59
20050613,6.54
20050614,6.5
20050615,6.9
20050616,7.16
20050617,7.17
20050618,7.01
20050619,6.85
20050620,7.9
20050621,8.03
20050622,8.56
20050623,8.67
20050624,8.45
20050625,8.45
20050626,8.46
20050627,8.45
20050628,8.72
20050629,9.05
20050630,9.15
20050701,9.25
20050702,9.41
20050703,9.5
20050704,9.45
20050705,9.7
20050706,10.09
20050707,10.27
20050708,10.36
20050709,10.33
20050710,10.3
20050711,10.48
20050712,10.79
20050713,10.92
20050714,11.12
20050715,11.23
20050716,11.41
20050717,11.36
20050718,11.38
20050719,11.42
20050720,11.54
20050721,11.48
20050722,11.4
20050723,11.36
20050724,11.31
20050725,11.26
20050726,11.58
20050727,11.73
20050728,11.84
20050729,11.93
20050730,12.1
20050731,12.08
20060301,-1.75
20060302,-1.76
20060303,-1.79
20060304,-1.77
20060305,-1.74
20060306,-1.79
20060307,-1.8
20060308,-1.79
20060309,-1.8
20060310,-1.77
20060311,-1.62
20060312,-1.59
20060313,-1.58
20060314,-1.59
20060315,-1.69
20060316,-1.63
20060317,-1.59
20060318,-1.59
20060319,-1.58
20060320,-1.56
20060321,-1.72
20060322,-1.76
20060323,-1.75
20060324,-1.71
20060325,-1.71
20060326,-1.74
20060327,-1.74
20060328,-1.61
20060329,-1.47
20060330,-1.41
20060331,-1.4
20060401,-1.4
20060402,-1.31
20060403,-1.23
20060404,-1.3
20060405,-1.36
20060406,-1.38
20060407,-1.48
20060408,-1.37
20060409,-1.39
20060410,-1.4
20060411,-1.39
20060412,-1.37
20060413,-1.3
20060414,-1.49
20060415,-1.75
20060416,-1.68
20060417,-1.57
20060418,-1.53
20060419,-1.6
20060420,-1.64
20060421,-1.31
20060422,-1.16
20060423,-1.19
20060424,-1.26
20060425,-1.33
20060426,-1.38
20060427,-1.47
20060428,-1.43
20060429,-1.44
20060430,-1.47
20060501,-1.55
20060502,-1.4
20060503,-1.33
20060504,-1.28
20060505,-1.18
20060506,-0.92
20060507,-1.06
20060508,-1.16
20060509,-0.96
20060510,-0.91
20060511,-0.74
20060512,-0.23
20060513,-0.24
20060514,-0.06
20060515,0.23
20060516,0.39
20060517,0.36
20060518,0.47
20060519,0.02
20060520,0.8
20060521,0.6
20060522,0.93
20060523,1.3
20060524,1.66
20060525,1.75
20060526,2.02
20060527,2.59
20060528,2.96
20060529,2.99
20060530,2.95
20060531,2.94
20060601,3.02
20060602,3.55
20060603,3.67
20060604,3.75
20060605,3.73
20060606,3.9
20060607,3.86
20060608,3.83
20060609,3.05
20060610,3.02
20060611,3.52
20060612,5.03
20060613,5.27
20060614,5.25
20060615,5.25
20060616,5.2
20060617,5.1
20060618,5.39
20060619,5.46
20060620,5.78
20060621,6.07
20060622,6.12
20060623,6.18
20060624,6.16
20060625,6.09
20060626,5.81
20060627,5.91
20060628,6.07
20060629,5.83
20060630,5.75
20060701,5.55
20060702,6.27
20060703,7.72
20060704,7.6
20060705,7.79
20060706,8.15
20060707,8.35
20060708,8.34
20060709,8.28
20060710,9.54
20060711,9.6
20060712,9.54
20060713,9.72
20060714,9.74
20060715,7.83
20060716,8.16
20060717,8.5
20060718,9.85
20060719,9.95
20060720,10.04
20060721,10.01
20060722,9.97
20060723,9.95
20060724,10.04
20060725,9.9
20060726,9
20060727,8.94
20060728,8.12
20060729,8.58
20060730,8.56
20060731,10.78
20070301,-1.71
20070302,-1.71
20070303,-1.71
20070304,-1.68
20070305,-1.65
20070306,-1.66
20070307,-1.65
20070308,-1.64
20070309,-1.71
20070310,-1.72
20070311,-1.68
20070312,-1.69
20070313,-1.66
20070314,-1.68
20070315,-1.65
20070316,-1.68
20070317,-1.71
20070318,-1.72
20070319,-1.71
20070320,-1.64
20070321,-1.67
20070322,-1.68
20070323,-1.67
20070324,-1.71
20070325,-1.78
20070326,-1.8
20070327,-1.79
20070328,-1.78
20070329,-1.78
20070330,-1.78
20070331,-1.54
20070401,-1.32
20070402,-1.26
20070403,-1.27
20070404,-1.29
20070405,-1.04
20070406,-0.99
20070407,-0.96
20070408,-0.88
20070409,-1.21
20070410,-1.15
20070411,-1.11
20070412,-1.02
20070413,-0.85
20070414,-0.88
20070415,-1.08
20070416,-0.99
20070417,-0.95
20070418,-0.72
20070419,-0.84
20070420,-0.84
20070421,-0.87
20070422,-0.31
20070423,-0.38
20070424,-0.44
20070425,-0.45
20070426,-0.47
20070427,-0.52
20070428,-0.13
20070429,0.19
20070430,0.26
20070501,0.34
20070502,0.39
20070503,0.71
20070504,0.38
20070505,0.66
20070506,0.63
20070507,0.66
20070508,0.75
20070509,1.05
20070510,1.14
20070511,1.28
20070512,1.45
20070513,1.37
20070514,1.3
20070515,1.55
20070516,1.52
20070517,1.61
20070518,1.62
20070519,1.78
20070520,2.06
20070521,2.05
20070522,2.11
20070523,2.05
20070524,2.15
20070525,1.79
20070526,2.06
20070527,3.01
20070528,3.24
20070529,3.36
